id,name,type,debut_year
FDA,Ferrari Driver Academy,1,
RBR,Red Bull Junior Team,1,
MGP,Mercedes Junior Team,1,
AP,Alpine Academy,1,
MDD,McLaren Driver Developement Programm,1,
SA,Sauber Academy,1,
WDA,Williams Driver Academy,1,
U,unabhängig,1,
MV,Max Verstappen,2,2015
YT,Yuki Tsunoda,2,2021
GR,George Russell,2,2019
AA,Andrea Kimi Antonelli,2,2025
CL,Charles Leclerc,2,2018
LH,Lewis Hamilton,2,2007
LN,Lando Norris,2,2019
OP,Oscar Piastri,2,2023
FA,Fernando Alonso,2,2001
LS,Lance Stroll,2,2017
PG,Pierre Gasly,2,2017
FC,Franco Colapinto,2,2025
AA2,Alexander Albon,2,2019
CS,Carlos Sainz,2,2015
LL,Liam Lawson,2,2023
IH,Isack Hadjar,2,2025
NH,Nico Hülkenberg,2,2010
GB,Gabriel Bortoleto,2,2025
EO,Esteban Ocon,2,2016
OB,Oliver Bearman,2,2025